#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	magChain	suscChain	deco	measure	err_magx	err_magy	err_magz	err_deco	err_magChain	err_suscChain	
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 0.000000000000000000e+00 6.944444444441463804e-03 1.000000000000086375e-01 8.523852699855137827e-01 -1.910315074706866777e-13 5.031097729670072072e-01 6.881422457068149257e-01 7.483548461641794880e+00 9.953880440835203430e-03 1.100000000000000000e+04 1.395646132328099711e-04 1.124456639111484808e-16 1.341381080653430329e-04 3.733472319374253357e-05 5.841770660337304187e-04 3.946849170089814299e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 5.000000000000431877e-02 6.944444444441463804e-03 1.000000000000086375e-01 8.523852604314273718e-01 -4.611986858417798609e-06 5.031097444760856963e-01 6.881193084390028192e-01 7.483147418610395896e+00 9.953828149098209108e-03 1.100000000000000000e+04 1.395714848223092886e-04 3.306802363161412332e-06 1.341408690641716602e-04 3.733452997219728376e-05 5.840643920515854477e-04 3.943780464758068864e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.000000000000086375e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.523852312510278306e-01 -9.459521341976574816e-06 5.031096595159011420e-01 6.880511912733863200e-01 7.481960105990038912e+00 9.953671579666022520e-03 1.100000000000000000e+04 1.395920997064487598e-04 6.612294426676368613e-06 1.341491298840255108e-04 3.733394894554571464e-05 5.837469410423116794e-04 3.935067435705218858e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 1.500000000000245581e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.525682280465529672e-01 -1.051502627108954178e-05 5.029375471149142296e-01 6.886207667815920086e-01 7.483438785422508843e+00 9.705792351792861747e-03 1.100000000000000000e+04 1.909190087901279742e-04 1.037888147672833483e-05 1.828038462581906302e-04 5.019625517258321650e-05 7.935815683106173333e-04 5.435510601781990726e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.000000000000172751e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.525681800694723256e-01 -1.271841661179192358e-05 5.029372506398623877e-01 6.883958267290234412e-01 7.479562027556061032e+00 9.705275839674197547e-03 1.100000000000000000e+04 1.909670126604814445e-04 1.454609826339003549e-05 1.828209845309489417e-04 5.019466340908575744e-05 7.928220714628857321e-04 5.415823786845900233e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 2.500000000000000000e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.524542019603366105e-01 -1.909597751350542526e-05 5.030392430166453765e-01 6.877021423347149387e-01 7.473015170629834891e+00 9.522613227252165954e-03 1.100000000000000000e+04 2.415673482152620039e-04 1.924813492508664633e-05 2.300712074574464176e-04 6.118217246016252251e-05 9.893070637019372050e-04 6.692777292288776096e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 3.000000000000491163e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.524541068436566338e-01 -2.696615064197468615e-05 5.030385947302008498e-01 6.872491108012873662e-01 7.465306000000201614e+00 9.521532695311451730e-03 1.100000000000000000e+04 2.416485261428550203e-04 2.429687761768452444e-05 2.300960105758864400e-04 6.117808273888739946e-05 9.881468394154721037e-04 6.664588065662264624e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 3.499999999999375278e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.525573487616484591e-01 -3.411677697509187348e-05 5.029440805433608164e-01 6.870394702870813441e-01 7.457212463906593314e+00 9.317078503516779825e-03 1.100000000000000000e+04 2.718632217067181518e-04 2.976440527618565276e-05 2.587472706849321320e-04 6.814467343919860197e-05 1.111632060937544275e-03 7.601267906541354230e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 4.000000000000345501e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.525571835304490698e-01 -4.584018668906804193e-05 5.029430051729874007e-01 6.863135146947937359e-01 7.445136929052724284e+00 9.315285493019074756e-03 1.100000000000000000e+04 2.719838749106314119e-04 3.538595455318728776e-05 2.587821358854087636e-04 6.813749569085050968e-05 1.110369828906641832e-03 7.569473815623045838e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 4.499999999999066413e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.526772446602567390e-01 -5.964544087263095982e-05 5.028239945023130764e-01 6.859347818254377671e-01 7.434143306444902954e+00 9.094638370538997429e-03 1.100000000000000000e+04 3.019761448295050208e-04 4.136849262135340567e-05 2.858052247814612721e-04 7.336088949599568786e-05 1.220513912773914288e-03 8.364977767112351942e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 5.000000000000000000e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.526769604646541323e-01 -7.767703703231320549e-05 5.028224078213365811e-01 6.849101523245035850e-01 7.417591118927314930e+00 9.092023966638627941e-03 1.100000000000000000e+04 3.021376404103286195e-04 4.748232641159815307e-05 2.858463656716689165e-04 7.335019352494018046e-05 1.219454571399189707e-03 8.336313710394343754e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 5.500000000001095124e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.526003238194822531e-01 -9.619080087584468554e-05 5.028992284953316405e-01 6.833987010275193175e-01 7.396297533485908460e+00 8.925444562938589232e-03 1.100000000000000000e+04 3.312605444207674700e-04 5.397110987662875306e-05 3.126507056318613017e-04 7.887106587105311643e-05 1.331466589357941906e-03 9.167446081206480010e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 6.000000000000982325e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.525998587316289123e-01 -1.282204978995478330e-04 5.028970481676664495e-01 6.820781164874520908e-01 7.375642861092543967e+00 8.921894420347905447e-03 1.100000000000000000e+04 3.314659081365973602e-04 6.054665927260069003e-05 3.126942826964500418e-04 7.885577905783460395e-05 1.330748500455890791e-03 9.145232840865141072e-03
1.200000000000000000e+01 1.000000000000000000e+00 8.333333333328334092e-02 9.474038901540863394e-03 9.474038901540863394e-03 6.499999999998813394e-01 6.944444444441463804e-03 1.000000000000086375e-01 8.526418787111221809e-01 -1.801131545365611752e-04 5.028584842641234953e-01 6.806681539616051824e-01 7.351917011348558795e+00 8.746520947085899972e-03 1.100000000000000000e+04 3.533136048097665154e-04 6.775250008912658774e-05 3.328536940808018182e-04 8.306223784014566162e-05 1.417531691841306986e-03 9.871581040476471933e-03
