#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	deco	measure	err_magx	err_magy	err_magz	err_deco	
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 0.000000000000000000e+00 4.999999999999911633e-03 9.999999999999823266e-03 3.982101237674436911e-01 2.801354006066418579e-15 7.648278354818133229e-01 1.254355087455893969e-01 1.208000000000000000e+03 2.096914830964867731e-03 8.122003840069500115e-18 4.891705248537716981e-04 4.733119893640634623e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 4.999999999999892725e-02 4.999999999999911633e-03 9.999999999999823266e-03 3.943782587355191271e-01 -1.275930165816186868e-05 7.656862699627378088e-01 1.173156975589246670e-01 1.208000000000000000e+03 4.302026323609546739e-03 4.850798036393201112e-05 1.004390133951734657e-03 8.633448818865707610e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 9.999999999999785449e-02 4.999999999999911633e-03 9.999999999999823266e-03 3.936800214440210888e-01 -3.539299451601273747e-05 7.659990014299049577e-01 1.082469046829764581e-01 1.208000000000000000e+03 5.725483665566424851e-03 1.241643700629081184e-04 1.344628717759679222e-03 1.102655549731604767e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.500000000000032974e-01 4.999999999999911633e-03 9.999999999999823266e-03 3.959599062445547935e-01 -3.686394562711840079e-05 7.653640516693066553e-01 9.909778264403902581e-02 1.208000000000000000e+03 6.816967706106688042e-03 2.199788710464282233e-04 1.599785363727336930e-03 1.261734535837282130e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.999999999999957090e-01 4.999999999999911633e-03 9.999999999999823266e-03 3.904166178232701401e-01 -8.453508541635649945e-05 7.667811642973721975e-01 9.012592364131565004e-02 1.208000000000000000e+03 7.887235142254178308e-03 3.273016005244844717e-04 1.855313583990999583e-03 1.351823952751507506e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 2.500000000000000000e-01 4.999999999999911633e-03 9.999999999999823266e-03 3.953392532047425023e-01 -3.821779045433502530e-04 7.657066646197895343e-01 8.219655798973163341e-02 1.208000000000000000e+03 8.532155344495978219e-03 4.550832678437471339e-04 2.012832164412836633e-03 1.398163242425368418e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 3.000000000000065947e-01 4.999999999999911633e-03 9.999999999999823266e-03 3.937431056675789742e-01 -3.078015688436859304e-04 7.659870531791164172e-01 7.662297892368570562e-02 1.208000000000000000e+03 9.060394556398700810e-03 5.892719805152591989e-04 2.131060662507898960e-03 1.412094721633436840e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 3.500000000000065281e-01 4.999999999999911633e-03 9.999999999999823266e-03 3.978074381145111915e-01 -5.941709251599748727e-04 7.645816792416413321e-01 7.081742222560143130e-02 1.208000000000000000e+03 9.496570938874899018e-03 7.092745015212509330e-04 2.242278299442409997e-03 1.427538299084992780e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 3.999999999999914180e-01 4.999999999999911633e-03 9.999999999999823266e-03 4.002681952689173261e-01 -7.269384817286839596e-04 7.636167659953084774e-01 6.566790629213918595e-02 1.208000000000000000e+03 9.882125851253479448e-03 8.564785784883409241e-04 2.335166741803848013e-03 1.422552344711723897e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 4.499999999999951261e-01 4.999999999999911633e-03 9.999999999999823266e-03 4.023498262677230874e-01 -8.272087240571447111e-04 7.629951765008415876e-01 6.047407107070976173e-02 1.208000000000000000e+03 1.024236237245463969e-02 1.000285030034545010e-03 2.438121890387857319e-03 1.402651404213381718e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 5.000000000000000000e-01 4.999999999999911633e-03 9.999999999999823266e-03 3.990902395636352074e-01 -8.333592651456799222e-04 7.632707016825186486e-01 5.652346938817813526e-02 1.208000000000000000e+03 1.060971693951976054e-02 1.147335230006350099e-03 2.516069328382141475e-03 1.386416751870213565e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 5.499999999999957145e-01 4.999999999999911633e-03 9.999999999999823266e-03 4.002710901418525258e-01 -6.804840305456953935e-04 7.627704542129238874e-01 5.269700963359328499e-02 1.208000000000000000e+03 1.086655162312260593e-02 1.295225888820688166e-03 2.577710883664746828e-03 1.365878706932870806e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 6.000000000000131894e-01 4.999999999999911633e-03 9.999999999999823266e-03 4.012799468080129883e-01 -1.012813722635054437e-03 7.623786510808577832e-01 4.957954863967414111e-02 1.208000000000000000e+03 1.106388980051664292e-02 1.449391300233544367e-03 2.623744368535426905e-03 1.338357857761557183e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 6.499999999999860334e-01 4.999999999999911633e-03 9.999999999999823266e-03 4.003793578406898979e-01 -6.113055886076035512e-04 7.622628025888680270e-01 4.634603143290862842e-02 1.208000000000000000e+03 1.130336112949232273e-02 1.611400036187071380e-03 2.671106483349210831e-03 1.304241405767403222e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 7.000000000000130562e-01 4.999999999999911633e-03 9.999999999999823266e-03 3.999556087434182894e-01 -9.437854015330192272e-04 7.624902128220519826e-01 4.363572929648706217e-02 1.208000000000000000e+03 1.146569274763508360e-02 1.778210974461453056e-03 2.712470007820096379e-03 1.266406193990221108e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 7.500000000000000000e-01 4.999999999999911633e-03 9.999999999999823266e-03 4.009119265120695275e-01 -1.298155860835285705e-03 7.620374482405181116e-01 4.076515855514032532e-02 1.208000000000000000e+03 1.163471291664904331e-02 1.928810055220032743e-03 2.754633200556265860e-03 1.232414952039079768e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 7.999999999999828360e-01 4.999999999999911633e-03 9.999999999999823266e-03 4.050076255741089093e-01 -2.116377106815332636e-03 7.607955967115747065e-01 3.712917850564583649e-02 1.208000000000000000e+03 1.180653738672649347e-02 2.083785929299991450e-03 2.791587719642105777e-03 1.170368336557685773e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 8.500000000000157430e-01 4.999999999999911633e-03 9.999999999999823266e-03 4.064628309665920258e-01 -1.604283530337893360e-03 7.600652386105241076e-01 3.503889482305283520e-02 1.208000000000000000e+03 1.190792242232934298e-02 2.278941091012226441e-03 2.818577368801052693e-03 1.132343262885197616e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 8.999999999999902522e-01 4.999999999999911633e-03 9.999999999999823266e-03 4.071376852583766248e-01 -1.965525474991415642e-03 7.592032030267377163e-01 3.275301463306822675e-02 1.208000000000000000e+03 1.205548564966080552e-02 2.427571151428831609e-03 2.850531021466199376e-03 1.092895080243584107e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 9.500000000000216049e-01 4.999999999999911633e-03 9.999999999999823266e-03 4.055546869361234541e-01 -2.229599742066902361e-03 7.589194202850833015e-01 3.086895036129963868e-02 1.208000000000000000e+03 1.219622378461211742e-02 2.625597470411892946e-03 2.873237669109596128e-03 1.048746043068356747e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.000000000000000000e+00 4.999999999999911633e-03 9.999999999999823266e-03 4.054225938451289646e-01 -3.111575323916079827e-03 7.583129245813946540e-01 2.921403500488323549e-02 1.208000000000000000e+03 1.230489060830893856e-02 2.777240890590673087e-03 2.891912742410416085e-03 1.017218137012406700e-03
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.049999999999976064e+00 4.999999999999911633e-03 9.999999999999823266e-03 4.039151953699812170e-01 -3.226040660280919247e-03 7.580417867711394253e-01 2.798591261308744360e-02 1.208000000000000000e+03 1.239888325443076408e-02 2.940309703972594953e-03 2.914554408085157002e-03 9.830721997755261822e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.099999999999991429e+00 4.999999999999911633e-03 9.999999999999823266e-03 4.028389927169281903e-01 -3.872410336139007429e-03 7.573254277735294027e-01 2.603885531113267482e-02 1.208000000000000000e+03 1.256004306299191194e-02 3.043491103008331197e-03 2.948900594926985239e-03 9.250791502551488016e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.150000000000012124e+00 4.999999999999911633e-03 9.999999999999823266e-03 4.017517685001270045e-01 -4.776203173147452671e-03 7.562845912130081727e-01 2.436512397446088593e-02 1.208000000000000000e+03 1.270927449509681555e-02 3.180892295115800555e-03 2.977697633106876456e-03 8.795739947755820340e-04
6.000000000000000000e+00 1.033333333329985226e+00 1.666666666669983921e-01 3.475092791280064153e-02 6.950185582550004113e-03 1.200000000000026379e+00 4.999999999999911633e-03 9.999999999999823266e-03 4.007882490742574189e-01 -5.957063927788926704e-03 7.556650798355918353e-01 2.313356159486115379e-02 1.208000000000000000e+03 1.280052862386840337e-02 3.336387892836667566e-03 2.995376295193126134e-03 8.488270141379769453e-04
