#	L	g	lambda	kappa	h	time	p	tm	magx	magy	magz	deco	measure	err_magx	err_magy	err_magz	err_deco	
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 0.000000000000000000e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.997911941442082728e-01 -1.134299365865573633e-13 7.633847055165212669e-01 1.273624233792992611e-01 9.090000000000000000e+02 1.674688039023203203e-03 5.501821567147811836e-17 3.918034717730223162e-04 3.728839620826023471e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 4.999999999999951011e-02 2.000000000000001343e-03 9.999999999999835409e-03 4.043356233860510573e-01 4.133288247045468518e-05 7.623350202471742554e-01 1.216875014211591388e-01 9.090000000000000000e+02 3.537667574114783040e-03 2.335291299358810988e-05 8.255404157738416120e-04 8.038925892463719180e-04
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 9.999999999999902023e-02 2.000000000000001343e-03 9.999999999999835409e-03 4.056104845766195233e-01 9.433191655803896760e-05 7.620778497106417415e-01 1.154174103419650099e-01 9.090000000000000000e+02 4.994556892627592323e-03 6.165306232896618070e-05 1.163221882272574316e-03 1.054442619502794819e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.500000000000025202e-01 2.000000000000001343e-03 9.999999999999835409e-03 4.053989484967691070e-01 1.390162354607161360e-04 7.620259444661563464e-01 1.095649863315692890e-01 9.090000000000000000e+02 6.116149830167504596e-03 1.113448797591484621e-04 1.431661050287434678e-03 1.226076772143152790e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.999999999999980405e-01 2.000000000000001343e-03 9.999999999999835409e-03 4.043544664113579157e-01 1.952675972508928113e-04 7.623301429606389457e-01 1.043812500843987190e-01 9.090000000000000000e+02 6.970549124293797839e-03 1.682287920243641193e-04 1.640476138907695980e-03 1.336911389183972248e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 2.500000000000000000e-01 2.000000000000001343e-03 9.999999999999835409e-03 4.039330049800425315e-01 2.470539346643965055e-04 7.623125765024639788e-01 9.846749048794808945e-02 9.090000000000000000e+02 7.829547694538840572e-03 2.296843777304933870e-04 1.839564505452777419e-03 1.439869396571630874e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 3.000000000000050404e-01 2.000000000000001343e-03 9.999999999999835409e-03 4.010404422070645847e-01 2.621663182551103996e-04 7.627831872984364159e-01 9.308417743534037891e-02 9.090000000000000000e+02 8.614207029562725992e-03 2.950659464927018766e-04 2.019495367896857133e-03 1.498212648095938529e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 3.500000000000011990e-01 2.000000000000001343e-03 9.999999999999835409e-03 4.018061533765168170e-01 1.881418862605067010e-04 7.626618177919687325e-01 8.899556541785594299e-02 9.090000000000000000e+02 9.067433537314558908e-03 3.723811087251065795e-04 2.132047171735853165e-03 1.537506114796891943e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 3.999999999999960809e-01 2.000000000000001343e-03 9.999999999999835409e-03 3.991736956914149759e-01 2.051930982465594868e-04 7.633544646821665003e-01 8.495185049255543630e-02 9.090000000000000000e+02 9.573776607816225290e-03 4.557480528909075971e-04 2.258914120699782088e-03 1.565605152556595256e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 4.499999999999927947e-01 2.000000000000001343e-03 9.999999999999835409e-03 4.020801484960603300e-01 1.619628190621403215e-05 7.626230114862309062e-01 8.103822234672364289e-02 9.090000000000000000e+02 9.924118279999895667e-03 5.486197878868995757e-04 2.337385806404066336e-03 1.589636469451310681e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 5.000000000000000000e-01 2.000000000000001343e-03 9.999999999999835409e-03 4.051023089637563190e-01 5.498164004143052104e-05 7.619431384191647227e-01 7.751527936964490439e-02 9.090000000000000000e+02 1.021091383933516936e-02 6.348126547443494559e-04 2.408618805302155212e-03 1.608201706576991002e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 5.500000000000079270e-01 2.000000000000001343e-03 9.999999999999835409e-03 4.056786212778321077e-01 1.873507362489627024e-04 7.616587212417379460e-01 7.404153890286833961e-02 9.090000000000000000e+02 1.055449054279095425e-02 7.338848999840239060e-04 2.478981452346732013e-03 1.610337612356717296e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 6.000000000000100808e-01 2.000000000000001343e-03 9.999999999999835409e-03 4.009183609181596331e-01 2.778746327723133369e-04 7.631039146941516194e-01 7.168950139154231516e-02 9.090000000000000000e+02 1.085373635937402111e-02 8.352072221074682964e-04 2.561736894190961948e-03 1.600934428642721615e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 6.499999999999889200e-01 2.000000000000001343e-03 9.999999999999835409e-03 4.012219897708277916e-01 2.194084462363450052e-04 7.627013274910903196e-01 6.840525777154500553e-02 9.090000000000000000e+02 1.117436651203079605e-02 9.414478531616002734e-04 2.636891369029871913e-03 1.598969993981818509e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 7.000000000000023981e-01 2.000000000000001343e-03 9.999999999999835409e-03 3.972962106264212867e-01 1.871422628521677710e-04 7.635062078925219931e-01 6.596599856047768995e-02 9.090000000000000000e+02 1.148160787386957871e-02 1.023323102990362360e-03 2.702565416034218883e-03 1.591389370077269955e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 7.500000000000000000e-01 2.000000000000001343e-03 9.999999999999835409e-03 3.957599757536510166e-01 1.518030052070440752e-04 7.639283535271489400e-01 6.381074145797581421e-02 9.090000000000000000e+02 1.168854427632173842e-02 1.151982036681081529e-03 2.758286743246444843e-03 1.584364101426158702e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 7.999999999999921618e-01 2.000000000000001343e-03 9.999999999999835409e-03 3.899547286498769028e-01 3.473290798290350461e-04 7.654637754734959776e-01 6.180184422598394844e-02 9.090000000000000000e+02 1.195490912280182220e-02 1.260335901193703661e-03 2.812647199437575980e-03 1.569467718374653337e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 8.500000000000138556e-01 2.000000000000001343e-03 9.999999999999835409e-03 3.873672883765804098e-01 2.472082860495701073e-04 7.657281048597882611e-01 5.903106435960132903e-02 9.090000000000000000e+02 1.225503552485215919e-02 1.370713813807217327e-03 2.868265644397243949e-03 1.545877296690041864e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 8.999999999999855893e-01 2.000000000000001343e-03 9.999999999999835409e-03 3.834238637291551566e-01 8.484205045276163658e-05 7.662274182802152334e-01 5.651636369093600981e-02 9.090000000000000000e+02 1.255477303849231521e-02 1.453909322589091915e-03 2.932519263570155469e-03 1.530154939784930798e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 9.500000000000138334e-01 2.000000000000001343e-03 9.999999999999835409e-03 3.836655085851149449e-01 -2.354536412285368452e-04 7.658059580238651964e-01 5.441780373097745982e-02 9.090000000000000000e+02 1.274018326903117795e-02 1.542641541697099697e-03 2.961946947663771697e-03 1.511008630432476288e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.000000000000000000e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.855302210173171540e-01 -6.314396559858664534e-04 7.650965376730390899e-01 5.201005652965579040e-02 9.080000000000000000e+02 1.290867870675373522e-02 1.650678742871483119e-03 3.004346696287487056e-03 1.497835438211343826e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.049999999999983169e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.864591448261580076e-01 -1.085646500610455440e-03 7.648652184106135010e-01 5.036019445214235529e-02 9.080000000000000000e+02 1.301235517860596484e-02 1.761934814666434295e-03 3.031866672806139175e-03 1.482753547936961278e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.100000000000015854e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.885293851541968824e-01 -1.523449191527142090e-03 7.645694554479339766e-01 4.849090476666133298e-02 9.080000000000000000e+02 1.309546290195606755e-02 1.879911085997814724e-03 3.072480308093913925e-03 1.456045198401840959e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.149999999999985922e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.884733890929107369e-01 -1.549076966446441463e-03 7.645755861185239421e-01 4.689612482454791342e-02 9.080000000000000000e+02 1.320338829290993408e-02 2.015881999050051637e-03 3.101991070724091203e-03 1.441541471985271572e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.200000000000020162e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.901467484681025999e-01 -1.917322665032241682e-03 7.639918279450266247e-01 4.495993306503347220e-02 9.080000000000000000e+02 1.332825805829337441e-02 2.091544031889850438e-03 3.132045708375558266e-03 1.418586988308693673e-03
1.000000000000000000e+01 1.019999999999988027e+00 9.999999999999902023e-02 1.333521432160009179e-02 2.667042864330025631e-03 1.250000000000000000e+00 2.000000000000001343e-03 9.999999999999835409e-03 3.919266434898451279e-01 -1.972705628246371103e-03 7.633746998771432368e-01 4.335996322664493335e-02 9.080000000000000000e+02 1.341795193588731644e-02 2.207689364348989006e-03 3.152834861965915503e-03 1.393058581442631642e-03
